,price,location,area,Bedrooms,Bathrooms
86,3780000.0,"C-16, Greater Noida, Delhi NCR",955.0,2.0,2.0
87,4300000.0,"C-16, Greater Noida, Delhi NCR",1060.0,2.0,2.0
88,5400000.0,"C-16, Greater Noida, Delhi NCR",1335.0,3.0,3.0
89,8500000.0,"Chakkarpur, Gurgaon, Delhi NCR",1350.0,3.0,3.0
90,7000000.0,"Chakkarpur, Gurgaon, Delhi NCR",1100.0,2.0,2.0
91,11500000.0,"Chander Nagar, Ghaziabad, Delhi NCR",1800.0,4.0,2.0
92,6000000.0,"Chander Nagar, Ghaziabad, Delhi NCR",990.0,2.0,2.0
93,12500000.0,"Chander Nagar, Ghaziabad, Delhi NCR",2000.0,4.0,3.0
94,9000000.0,"Chander Nagar, Ghaziabad, Delhi NCR",1500.0,3.0,2.0
95,10000000.0,"Chander Nagar, Ghaziabad, Delhi NCR",1800.0,4.0,3.0
96,22500000.0,"Charmwood Village Faridabad, Charmwood Village, Faridabad, Delhi NCR",2400.0,4.0,4.0
97,8500000.0,"Charmwood Village, Faridabad, Delhi NCR",1283.0,2.0,2.0
98,5200000.0,"Chattarpur Extension, New Delhi - South, Delhi NCR",1100.0,3.0,2.0
99,5500000.0,"Chhattarpur, New Delhi - South, Delhi NCR",1100.0,3.0,2.0
100,7000000.0,"Chhattarpur, New Delhi - South, Delhi NCR",1250.0,3.0,2.0
101,5000000.0,"Chhattarpur, New Delhi - South, Delhi NCR",900.0,3.0,2.0
102,3200000.0,"Chhattarpur, New Delhi - South, Delhi NCR",668.0,2.0,2.0
103,3100000.0,"Chhattarpur, New Delhi, Chattarpur Extension, New Delhi - South, Delhi NCR",720.0,2.0,2.0
104,8000000.0,"Chi 2, Greater Noida, Chi 2, Greater Noida, Delhi NCR",2150.0,4.0,4.0
105,13500000.0,"Chi 4, Greater Noida, Chi 4, Greater Noida, Delhi NCR",3000.0,4.0,4.0
106,9000000.0,"Chi 4, Greater Noida, Chi 4, Greater Noida, Delhi NCR",2000.0,3.0,3.0
107,10000000.0,"Chi 4, Greater Noida, Delhi NCR",2150.0,3.0,4.0
108,5220000.0,"Chi 5, Greater Noida, Delhi NCR",1494.0,3.0,3.0
109,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
110,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
111,4250000.0,"Chi 5, Greater Noida, Delhi NCR",1114.0,2.0,2.0
112,13000000.0,"Chi 5, Greater Noida, Delhi NCR",3210.0,4.0,4.0
113,3200000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0,2.0
114,7700000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
115,3500000.0,"Chi 5, Greater Noida, Delhi NCR",1000.0,2.0,2.0
116,3000000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0,2.0
